id,refund_code,order_id,pay_code,original_amount,payment_amount,billing_amount,refund_request_amount,refund_vnpay_sub_fee,refund_vendor_sub_fee,refund_bank_sub_fee,refund_amount,status,created_date,created_by,created_by_hash,modified_date,modified_by,rejected_date,rejected_by,approved_date,approved_by,cancel_request_date,is_reportable
1,REF000001,39,PAY00000039,255000,255000,255000,255000,12750,7650,5100,229500,approved,2025-11-19 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-10 17:33:29.000000,system,,,2025-12-11 17:33:29.000000,admin,2025-11-15 17:33:29.000000,True
2,REF000002,37,PAY00000037,255000,255000,255000,255000,12750,7650,5100,229500,rejected,2025-11-15 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-10 17:33:29.000000,system,2025-12-08 17:33:29.000000,admin,,,2025-11-17 17:33:29.000000,True
3,REF000003,60,PAY00000060,255000,255000,255000,255000,12750,7650,5100,229500,approved,2025-12-01 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-05 17:33:29.000000,system,,,2025-12-08 17:33:29.000000,admin,2025-11-21 17:33:29.000000,True
4,REF000004,40,PAY00000040,85000,85000,85000,85000,4250,2550,1700,76500,rejected,2025-11-20 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-07 17:33:29.000000,system,2025-12-12 17:33:29.000000,admin,,,2025-12-07 17:33:29.000000,True
5,REF000005,92,PAY00000092,255000,255000,255000,255000,12750,7650,5100,229500,approved,2025-12-05 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-08 17:33:29.000000,system,,,2025-12-07 17:33:29.000000,admin,2025-12-11 17:33:29.000000,True
6,REF000006,53,PAY00000053,170000,170000,170000,170000,8500,5100,3400,153000,approved,2025-12-04 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-11 17:33:29.000000,system,,,2025-12-11 17:33:29.000000,admin,2025-12-06 17:33:29.000000,True
7,REF000007,72,PAY00000072,255000,255000,255000,255000,12750,7650,5100,229500,approved,2025-11-14 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-10 17:33:29.000000,system,,,2025-12-11 17:33:29.000000,admin,2025-11-21 17:33:29.000000,True
8,REF000008,87,PAY00000087,255000,255000,255000,255000,12750,7650,5100,229500,initial,2025-11-26 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-05 17:33:29.000000,system,,,,,2025-12-12 17:33:29.000000,True
9,REF000009,5,PAY00000005,85000,85000,85000,85000,4250,2550,1700,76500,approved,2025-12-09 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-12 17:33:29.000000,system,,,2025-12-06 17:33:29.000000,admin,2025-11-22 17:33:29.000000,True
10,REF000010,71,PAY00000071,255000,255000,255000,255000,12750,7650,5100,229500,initial,2025-11-14 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-07 17:33:29.000000,system,,,,,2025-11-23 17:33:29.000000,True
11,REF000011,20,PAY00000020,170000,170000,170000,170000,8500,5100,3400,153000,initial,2025-11-12 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-08 17:33:29.000000,system,,,,,2025-11-24 17:33:29.000000,True
12,REF000012,80,PAY00000080,255000,255000,255000,255000,12750,7650,5100,229500,approved,2025-11-12 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-06 17:33:29.000000,system,,,2025-12-12 17:33:29.000000,admin,2025-11-17 17:33:29.000000,True
13,REF000013,9,PAY00000009,85000,85000,85000,85000,4250,2550,1700,76500,approved,2025-12-08 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-11 17:33:29.000000,system,,,2025-12-09 17:33:29.000000,admin,2025-12-09 17:33:29.000000,True
14,REF000014,6,PAY00000006,255000,255000,255000,255000,12750,7650,5100,229500,initial,2025-12-06 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-10 17:33:29.000000,system,,,,,2025-12-03 17:33:29.000000,True
15,REF000015,82,PAY00000082,85000,85000,85000,85000,4250,2550,1700,76500,approved,2025-12-08 17:33:29.000000,system,bbc5e661e106c6dcd8dc6dd186454c2f,2025-12-05 17:33:29.000000,system,,,2025-12-06 17:33:29.000000,admin,2025-11-12 17:33:29.000000,True
